Date,Time,Temperature (°C),Humidity (%),Pressure (hPa),Light Intensity (Lux),CO2 (ppm),PM1.0 (µg/m³),PM2.5 (µg/m³),PM10.0 (µg/m³),Uptime,Sensors Online
14/3/2026,11:23:39 am,37.37,36.27,1013.1,121.65,750,46,68,77,N/A,N/A
14/3/2026,11:23:49 am,37.39,36.18,1013.14,122.57,753,46,68,77,N/A,N/A
14/3/2026,11:23:59 am,37.34,36.27,1013.12,123.03,752,46,68,77,N/A,N/A
14/3/2026,11:24:09 am,37.36,36.27,1013.11,123.49,755,46,69,77,N/A,N/A
14/3/2026,11:24:20 am,37.34,36.36,1013.14,121.65,750,46,69,77,N/A,N/A
14/3/2026,11:24:30 am,37.37,36.27,1013.14,122.11,753,46,72,79,N/A,N/A
14/3/2026,11:24:40 am,37.4,36.36,1013.17,123.96,752,45,70,77,N/A,N/A
14/3/2026,11:30:04 am,37.17,36.58,1013.04,122.57,0,44,65,78,N/A,N/A
14/3/2026,11:30:14 am,37.12,36.48,1013.03,122.11,0,43,63,76,N/A,N/A
14/3/2026,11:30:24 am,37.13,36.48,1013.01,122.11,0,43,63,75,N/A,N/A
14/3/2026,11:30:34 am,37.13,36.48,1013.01,125.34,0,44,64,75,N/A,N/A
14/3/2026,11:30:43 am,37.17,36.48,1013.01,125.34,0,44,64,75,N/A,N/A
14/3/2026,11:30:53 am,37.17,36.58,1013.01,125.34,0,45,67,76,N/A,N/A
14/3/2026,11:31:04 am,37.21,36.87,1013,96.77,0,46,70,79,N/A,N/A
14/3/2026,11:31:14 am,37.21,36.38,1013.03,95.85,0,44,68,76,N/A,N/A
14/3/2026,11:31:24 am,37.21,36.29,1013,97.69,0,42,67,75,N/A,N/A
14/3/2026,11:31:34 am,37.25,36.19,1013.02,94.92,0,44,68,76,N/A,N/A
14/3/2026,11:31:44 am,37.22,36.19,1013,94.92,0,44,65,75,N/A,N/A
14/3/2026,11:31:54 am,37.22,36.19,1012.99,94.46,0,46,66,76,N/A,N/A
14/3/2026,11:32:04 am,37.22,36.19,1013.01,95.39,0,45,65,76,N/A,N/A
14/3/2026,11:32:14 am,37.2,36.19,1013,95.85,0,43,65,76,N/A,N/A
14/3/2026,11:32:24 am,37.2,36.29,1012.97,97.23,0,44,65,76,N/A,N/A
14/3/2026,11:32:34 am,37.17,36.29,1012.98,96.31,0,43,64,75,N/A,N/A
14/3/2026,11:32:45 am,37.17,36.38,1012.98,94.46,0,44,66,77,N/A,N/A
14/3/2026,11:32:55 am,37.09,36.38,1012.98,96.31,0,45,66,76,N/A,N/A
14/3/2026,11:33:05 am,37.07,36.38,1013,96.31,0,46,66,76,N/A,N/A
14/3/2026,11:33:15 am,37.09,36.48,1012.91,94.92,0,47,68,76,N/A,N/A
14/3/2026,11:33:25 am,37.12,36.38,1012.96,97.23,0,46,66,75,N/A,N/A
14/3/2026,11:33:35 am,37.13,36.38,1013,96.77,0,47,68,76,N/A,N/A
14/3/2026,11:33:46 am,37.13,36.29,1012.96,96.77,0,45,66,76,N/A,N/A
14/3/2026,11:33:56 am,37.12,36.29,1012.96,95.39,0,45,66,76,N/A,N/A
14/3/2026,11:34:06 am,37.15,36.19,1012.95,95.85,0,46,66,77,N/A,N/A
14/3/2026,11:34:16 am,37.12,36.19,1012.96,96.31,0,44,65,75,N/A,N/A
14/3/2026,11:34:26 am,37.1,36.29,1012.98,95.39,0,45,67,76,N/A,N/A
14/3/2026,11:34:36 am,37.12,36.29,1012.95,96.31,0,46,69,77,N/A,N/A
14/3/2026,11:34:46 am,37.09,36.29,1013.01,96.77,0,45,67,74,N/A,N/A
14/3/2026,11:34:56 am,37.07,36.29,1012.97,95.85,0,46,68,75,N/A,N/A
14/3/2026,11:35:06 am,37.07,36.29,1012.97,97.23,0,45,67,75,N/A,N/A
14/3/2026,11:35:16 am,37.07,36.1,1012.96,98.15,0,45,69,77,N/A,N/A
14/3/2026,11:35:27 am,37.06,36.1,1012.96,94.92,0,45,69,76,N/A,N/A
14/3/2026,11:35:37 am,37.05,36.1,1012.93,96.31,0,45,67,75,N/A,N/A
14/3/2026,11:35:47 am,37.05,36.1,1012.95,96.31,0,46,68,76,N/A,N/A
14/3/2026,11:35:57 am,37.05,36,1012.95,98.61,0,47,68,77,N/A,N/A
14/3/2026,11:36:07 am,37.05,35.9,1012.95,96.31,0,45,66,76,N/A,N/A
14/3/2026,11:36:18 am,37.06,36,1012.94,95.39,0,45,66,76,N/A,N/A
14/3/2026,11:36:28 am,37.02,36.02,1012.93,98.61,0,45,67,76,N/A,N/A
14/3/2026,11:36:39 am,37.05,36,1012.92,95.85,0,45,67,76,N/A,N/A
14/3/2026,11:36:49 am,37.05,36.1,1012.94,95.39,0,45,65,75,N/A,N/A
14/3/2026,11:36:59 am,37.05,36,1012.91,95.39,0,45,65,75,N/A,N/A
14/3/2026,11:40:13 am,36.99,35.82,1012.85,98.15,0,0,0,0,N/A,N/A
14/3/2026,11:40:22 am,37,35.72,1012.86,96.31,0,45,68,76,N/A,N/A
14/3/2026,11:40:31 am,37,35.53,1012.84,99.07,0,45,66,76,N/A,N/A
14/3/2026,11:40:41 am,37.02,35.53,1012.8,97.23,0,45,66,76,N/A,N/A
14/3/2026,11:40:51 am,37.05,35.51,1012.84,96.31,0,45,67,75,N/A,N/A
14/3/2026,11:41:02 am,37.05,35.51,1012.81,95.85,0,45,66,75,N/A,N/A
14/3/2026,11:41:12 am,37.13,35.61,1012.82,88.47,0,45,65,75,N/A,N/A
14/3/2026,11:41:22 am,37.18,35.32,1012.83,96.31,0,44,66,76,N/A,N/A
14/3/2026,11:41:32 am,37.18,35.61,1012.81,96.31,0,43,63,75,N/A,N/A
14/3/2026,11:41:42 am,37.2,35.61,1012.84,97.23,0,44,64,76,N/A,N/A
